,0,
New York,EWR,D
Salt Lake City,SLC,D
Baltimore,BWI,D
Moscow,DME,I
Manila,MNL,I
Seoul,ICN,I
Chicago,ORD,D
Austin,AUS,D
Boston,BOS,D
Dallas,DFW,D
Denver,DEN,D
Eugene,EUG,D
Fort Lauderdale,FLL,D
"Honolulu, Oahu",HNL,D
Houston,HOU,D
Ithaca,ITH,D
Jackson,MKL,D
Kalamazoo,AZO,D
Kodiak,ADQ,D
Las Vegas,LAS,D
Los Angeles,LAX,D
McCook,MCK,D
New Orleans,MSY,D
St. George,SGU,D
Sun Valley,SUN,D
Tallahassee,TLH,D
Thief River Falls,TVF,D
Tupelo,TUP,D
Valdosta,VLD,D
Visalia,VIS,D
Watertown,ATY,D
Wausau,CWA,D
Yakutat,YAK,D
Rochester,RST,D
Rockford,RFD,D
Salina,SLN,D
Beijing,PEK,I
Tokyo,HND,I
Dubai,DXB,I
London,LHR,I
Shanghai,PVG,I
Hongkong,HKG,I
Paris,CDG,I
Amsterdam,AMS,I
Frankfurt,FRA,I
Singapore,SIN,I
Bang Phli,BKK,I
Delhi,DEL,I
Banten,CGK,I
 Selangor,KUL,I
Madrid,MAD,I
Barcelona,BCN,I
Toronto,YYZ,I
Rome,FCO,I
Sao Paolo,GRU,I
Sydney,SYD,I
Moscow,SVO,I
Mexico City,MEX,I
 Istanbul,IST,I
Santiago,SCL,I
Zagreb,ZAG,I
Copenhagen,CPH,I
Cairo,CAI,I
Athens,ATH,I
Tribhuvan,KTM,I
Lima,LIM,I
